date,hs_code,product_description,qty,unit,unit_rate_usd,value_usd,currency_detected,unit_rate_norm_usd,value_norm_usd,origin_country,dest_country,source_file
2024-11-18,84195010,"Cooling Tower For Cooling In Factory , Model Rt-150L , 380V , 5.5Kw , No Brand , Manufacturer: Shen Zhen Zhizhi Evergreen Technology Co. , Ltd , Year 2024. 100% New-Unit Price 4 , 155 , 659 , 718 Vnd#&Cn",2.0,SET,164907.13166,329814.26332,vnd,6.8711304858333335,13.742260971666667,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-12,84195010,"Cooling Tower   (Cooling Tower)  , Model: Lncm-250, Electric Operation, Used In Factories, Capacity 22Kw, Voltage 380V, Brand Liang Chi, Unit Price 2,489,782,223 Vnd-Pce, 100% New",2.0,PCE,2489782223.0,4979564446.0,vnd,103740.92595833333,207481.85191666667,China,Vietnam,84195010 (1).xlsx
2024-09-18,84195010,"Tcs-600C-2B#&Cooling Tower - Cooling Tower ,  Item Code: Tcs 600C-2B ,  Power: 2 X 7.5 Kw ,  Unit Price: 704 , 660 , 100 Vnd-Set",2.0,SET,704660100.0,1409320200.0,vnd,29360.8375,58721.675,Malaysia,Vietnam,84195010 (1).xlsx
2025-03-26,8419501000,"Lrc-N-350-C4  (S)   Cooling Tower , Function: Water Cooling , Voltage: 380V , 3 Phase , 50Hz , Synchronous And Removable Product , Supplier: Liang Chi , Sn: 20250320-05 , Unit Price: 1 , 027 , 000 , 000 Vnd , 100% New , Manufactured In 2025",1.0,SET,40464.93301,40464.93301,vnd,1.6860388754166666,1.6860388754166666,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-26,84195010,"Sample Cooler   (Cooling Tower)  , Made Of Steel, Mounted Directly On The Boiler Body, Inlet And Outlet Pipe Diamtr: 15Mm, 15Mm, Used To Take Samples And Reduce Water Temperature In The Boiler, Ici Caldaie Brand, 100% New. #&Vn.",1.0,PCE,102645070.0,102645070.0,vnd,4276.877916666666,4276.877916666666,Vietnam,Vietnam,84195010 (1).xlsx
2024-10-28,84195010,"Industrial Water Chiller Cvhg1100 ,  Capacity: 757.5 Kw- 10000V- 50Hz ,  Water Temperature: 7-12 Degrees ,  Brand: Trane. Unit Price: 10 , 572 , 027 , 120 Vnd#&Cn",1.0,PCE,422712.0,422712.0,vnd,17.613,17.613,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-28,84195010,"Lbc-60Rt Cooling Tower ,  Model: Lbc-60Rt ,  Manufacturer: Liang Chi Industry Co.Ltd ,  Cooling Capacity: 243000Kcal-Hr ,  Voltage: 380V ,  3 Phase ,  50Hz ,  Year Of Manufacture: 2024 ,  Used To Help Lower Water Temperature ,  100% New #&Vn",2.0,SET,35000000.0,70000000.0,vnd,1458.3333333333333,2916.6666666666665,Vietnam,Vietnam,84195010 (1).xlsx
2024-11-18,84195010,"Cooling Tower For Cooling In Factories , Model Rt-150L , 380V-5.5Kw , Soxi Brand , Manufacturer Guangdong Soxi Intelligent Equipment , Year 2024. 100% New-Unit Price 6 , 038 , 330 , 275 Vnd#&Cn",1.0,SET,239616.28075,239616.28075,vnd,9.984011697916667,9.984011697916667,Vietnam,Vietnam,84195010 (1).xlsx
2024-12-27,84195010,"Cooling Tower , Model L-5120-Cs , To Cool The Inside Of The Factory And The Air Conditioning System , Cooling Capacity 4 , 395 , 000Kcal-H , Fan Motor: 15Hp , 50Hz-380V , Liangchi Brand. Unit Price: 1 , 097 , 649 , 300 Vnd-Pc",3.0,NOS,43524.69566,130574.08698,vnd,1.8135289858333332,5.4405869575,China,Vietnam,84195010 (1).xlsx
2024-10-28,84195010,"Industrial Water Chiller Cvhg1100 ,  Capacity: 757.5 Kw- 10000V- 50Hz ,  Water Temperature: 7-12 Degrees ,  Brand: Trane. Unit Price: 10 , 572 , 027 , 120 Vnd",1.0,PCE,422712.0,422712.0,vnd,17.613,17.613,China,Vietnam,84195010 (1).xlsx
2025-03-26,8419501000,"Lrc-N-350-C4  (S)   Cooling Tower , Function: Water Cooling , Voltage: 380V , 3 Phase , 50Hz , Disassembled Synchronous Goods , Nh: Liang Chi , Sn: 20250320-06 , Unit Price: 1 , 027 , 000 , 000 Vnd , 100% New , Manufactured In 2025",1.0,SET,40464.93301,40464.93301,vnd,1.6860388754166666,1.6860388754166666,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-28,84195010,"Lbc-60Rt Cooling Tower ,  Model: Lbc-60Rt ,  Manufacturer: Liang Chi Industry Co.Ltd ,  Cooling Capacity: 243000Kcal-Hr ,  Voltage: 380V ,  3 Phase ,  50Hz ,  Year Of Manufacture: 2024 ,  Used To Help Lower Water Temperature ,  100% New #&Vn",2.0,SET,35000000.0,70000000.0,vnd,1458.3333333333333,2916.6666666666665,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-17,84195010,"Cooling Tower Model Lbc-175Rt ,  Capacity 5Hp ,  682500Kcal-H ,  Size: 2485X3300Mm   (  (Spare Part Of Industrial Freezer Chamber)   100% New #&Vn",1.0,UNT,219666000.0,219666000.0,vnd,9152.75,9152.75,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-25,84195010,"Cooling Tower, Lvn-5150-C3  (S)  , To Cool The Inside Of The Factory And The Air Conditioning System, Cooling Capacity 4,395,000Kcal-H, Fan Motor: 15Hp, 50Hz-380V, Liangchi Brand, Manufacturer: 2023, Price: 1,097,649,300Vnd#&Vn",1.0,PCE,1097649300.0,1097649300.0,vnd,45735.3875,45735.3875,Vietnam,Vietnam,84195010 (1).xlsx
